Name	Statistic	Cells
Specimen_001_A1_A01.fcs		6
Specimen_001_A1_A01.fcs/mCherry	16.7	1
Specimen_001_A3_A03.fcs		7234
Specimen_001_A3_A03.fcs/mCherry	95.7	6925
Specimen_001_A4_A04.fcs		5262
Specimen_001_A4_A04.fcs/mCherry	93.6	4925
Specimen_001_A5_A05.fcs		8272
Specimen_001_A5_A05.fcs/mCherry	66.5	5503
Specimen_001_A6_A06.fcs		5520
Specimen_001_A6_A06.fcs/mCherry	63.4	3502
Specimen_001_A7_A07.fcs		7473
Specimen_001_A7_A07.fcs/mCherry	47.6	3555
Specimen_001_A8_A08.fcs		6627
Specimen_001_A8_A08.fcs/mCherry	42	2781
Specimen_001_A9_A09.fcs		7802
Specimen_001_A9_A09.fcs/mCherry	72.8	5679
Specimen_001_A10_A10.fcs		2445
Specimen_001_A10_A10.fcs/mCherry	70.7	1729
Specimen_001_A11_A11.fcs		2424
Specimen_001_A11_A11.fcs/mCherry	43.8	1061
Specimen_001_A12_A12.fcs		5790
Specimen_001_A12_A12.fcs/mCherry	41.1	2378
Specimen_001_A13_A13.fcs		6630
Specimen_001_A13_A13.fcs/mCherry	50.2	3328
Specimen_001_A14_A14.fcs		5730
Specimen_001_A14_A14.fcs/mCherry	44.8	2568
Specimen_001_A15_A15.fcs		5461
Specimen_001_A15_A15.fcs/mCherry	72.8	3975
Specimen_001_A16_A16.fcs		4879
Specimen_001_A16_A16.fcs/mCherry	71.4	3486
Specimen_001_A17_A17.fcs		7802
Specimen_001_A17_A17.fcs/mCherry	49.9	3896
Specimen_001_A18_A18.fcs		6170
Specimen_001_A18_A18.fcs/mCherry	43.7	2698
Specimen_001_A19_A19.fcs		7520
Specimen_001_A19_A19.fcs/mCherry	65.2	4904
Specimen_001_A20_A20.fcs		6127
Specimen_001_A20_A20.fcs/mCherry	60.6	3713
Specimen_001_A21_A21.fcs		7567
Specimen_001_A21_A21.fcs/mCherry	95.8	7251
Specimen_001_A22_A22.fcs		6327
Specimen_001_A22_A22.fcs/mCherry	95	6009
Specimen_001_B3_B03.fcs		17625
Specimen_001_B3_B03.fcs/mCherry	97.8	17233
Specimen_001_B4_B04.fcs		18330
Specimen_001_B4_B04.fcs/mCherry	96	17601
Specimen_001_B5_B05.fcs		14241
Specimen_001_B5_B05.fcs/mCherry	69	9830
Specimen_001_B6_B06.fcs		14899
Specimen_001_B6_B06.fcs/mCherry	67.4	10045
Specimen_001_B7_B07.fcs		14147
Specimen_001_B7_B07.fcs/mCherry	54	7646
Specimen_001_B8_B08.fcs		14288
Specimen_001_B8_B08.fcs/mCherry	50.6	7226
Specimen_001_B9_B09.fcs		13207
Specimen_001_B9_B09.fcs/mCherry	61.5	8119
Specimen_001_B10_B10.fcs		13583
Specimen_001_B10_B10.fcs/mCherry	57.1	7754
Specimen_001_B11_B11.fcs		11938
Specimen_001_B11_B11.fcs/mCherry	54.2	6475
Specimen_001_B12_B12.fcs		12925
Specimen_001_B12_B12.fcs/mCherry	48.4	6257
Specimen_001_B13_B13.fcs		13536
Specimen_001_B13_B13.fcs/mCherry	59.2	8019
Specimen_001_B14_B14.fcs		13583
Specimen_001_B14_B14.fcs/mCherry	58.2	7904
Specimen_001_B15_B15.fcs		12972
Specimen_001_B15_B15.fcs/mCherry	61.2	7942
Specimen_001_B16_B16.fcs		14194
Specimen_001_B16_B16.fcs/mCherry	58.9	8362
Specimen_001_B17_B17.fcs		13348
Specimen_001_B17_B17.fcs/mCherry	57.3	7650
Specimen_001_B18_B18.fcs		14805
Specimen_001_B18_B18.fcs/mCherry	53.5	7925
Specimen_001_B19_B19.fcs		14711
Specimen_001_B19_B19.fcs/mCherry	68.3	10054
Specimen_001_B20_B20.fcs		15416
Specimen_001_B20_B20.fcs/mCherry	65.7	10127
