well_id	sample_id	fact	name_long	cells	dark
A01	BLANK	pH7.3_A	Specimen_002_A1_A01_321.fcs	25	8
A02	BLANK	pH7.3_B	Specimen_002_A2_A02_322.fcs	47	12
A03	F02_A1.1_A11_1	pH7.3_A	Specimen_001_A3_A03_001.fcs	14692	5408
A04	F02_A1.1_A11_1	pH7.3_B	Specimen_001_A4_A04_002.fcs	11189	4268
A05	A03_A1.1_A12_1	pH7.3_A	Specimen_001_A5_A05_003.fcs	16055	4675
A06	A03_A1.1_A12_1	pH7.3_B	Specimen_001_A6_A06_004.fcs	13585	3856
A07	C03_A3_H11_1	pH7.3_A	Specimen_001_A7_A07_005.fcs	15134	8126
A08	C03_A3_H11_1	pH7.3_B	Specimen_001_A8_A08_006.fcs	13650	7850
A09	E03_A3_H03_1	pH7.3_A	Specimen_001_A9_A09_007.fcs	16191	8993
A10	E03_A3_H03_1	pH7.3_B	Specimen_001_A10_A10_008.fcs	13887	8053
A11	G03_A1.1_B12_1	pH7.3_A	Specimen_001_A11_A11_009.fcs	14635	6287
A12	G03_A1.1_B12_1	pH7.3_B	Specimen_001_A12_A12_010.fcs	12950	5358
A13	A04_A3_G12_1	pH7.3_A	Specimen_001_A13_A13_011.fcs	13390	6882
A14	A04_A3_G12_1	pH7.3_B	Specimen_001_A14_A14_012.fcs	12558	6011
A15	C04_A3_H02_1	pH7.3_A	Specimen_001_A15_A15_013.fcs	15340	9017
A16	C04_A3_H02_1	pH7.3_B	Specimen_001_A16_A16_014.fcs	13284	8028
A17	E04_A3_G01_1	pH7.3_A	Specimen_001_A17_A17_015.fcs	12415	7165
A18	E04_A3_G01_1	pH7.3_B	Specimen_001_A18_A18_016.fcs	9234	5735
A19	G04_A3_H09_1	pH7.3_A	Specimen_001_A19_A19_017.fcs	11516	6607
A20	G04_A3_H09_1	pH7.3_B	Specimen_001_A20_A20_018.fcs	11558	6734
A21	A05_A1.1_A08_1	pH7.3_A	Specimen_001_A21_A21_019.fcs	13873	8418
A22	A05_A1.1_A08_1	pH7.3_B	Specimen_001_A22_A22_020.fcs	14336	8163
A23	REF	pH7.3_A	Specimen_003_A23_A23_353.fcs	21804	94
A24	REF	pH7.3_B	Specimen_003_A24_A24_354.fcs	20865	32
B01	BLANK	NaCl_A	Specimen_002_B1_B01_323.fcs	8	5
B02	BLANK	NaCl_B	Specimen_002_B2_B02_324.fcs	6	5
B03	F02_A1.1_A11_1	NaCl_A	Specimen_001_B3_B03_021.fcs	17615	4991
B04	F02_A1.1_A11_1	NaCl_B	Specimen_001_B4_B04_022.fcs	15804	4254
B05	A03_A1.1_A12_1	NaCl_A	Specimen_001_B5_B05_023.fcs	16123	3842
B06	A03_A1.1_A12_1	NaCl_B	Specimen_001_B6_B06_024.fcs	18265	4427
B07	C03_A3_H11_1	NaCl_A	Specimen_001_B7_B07_025.fcs	12617	5495
B08	C03_A3_H11_1	NaCl_B	Specimen_001_B8_B08_026.fcs	16523	6983
B09	E03_A3_H03_1	NaCl_A	Specimen_001_B9_B09_027.fcs	19695	8568
B10	E03_A3_H03_1	NaCl_B	Specimen_001_B10_B10_028.fcs	16784	7208
B11	G03_A1.1_B12_1	NaCl_A	Specimen_001_B11_B11_029.fcs	18850	7050
B12	G03_A1.1_B12_1	NaCl_B	Specimen_001_B12_B12_030.fcs	17121	6179
B13	A04_A3_G12_1	NaCl_A	Specimen_001_B13_B13_031.fcs	20453	7727
B14	A04_A3_G12_1	NaCl_B	Specimen_001_B14_B14_032.fcs	15287	5974
B15	C04_A3_H02_1	NaCl_A	Specimen_001_B15_B15_033.fcs	16910	7645
B16	C04_A3_H02_1	NaCl_B	Specimen_001_B16_B16_034.fcs	15835	6893
B17	E04_A3_G01_1	NaCl_A	Specimen_001_B17_B17_035.fcs	16575	7118
B18	E04_A3_G01_1	NaCl_B	Specimen_001_B18_B18_036.fcs	13565	5761
B19	G04_A3_H09_1	NaCl_A	Specimen_001_B19_B19_037.fcs	18070	8441
B20	G04_A3_H09_1	NaCl_B	Specimen_001_B20_B20_038.fcs	17405	7663
B21	A05_A1.1_A08_1	NaCl_A	Specimen_001_B21_B21_039.fcs	18759	9176
B22	A05_A1.1_A08_1	NaCl_B	Specimen_001_B22_B22_040.fcs	15325	7635
B23	REF	NaCl_A	Specimen_003_B23_B23_355.fcs	22500	191
B24	REF	NaCl_B	Specimen_003_B24_B24_356.fcs	22500	282
C01	C02_A3_A03_1	pH7.3_A	Specimen_002_C1_C01_325.fcs	20735	9718
C02	C02_A3_A03_1	pH7.3_B	Specimen_002_C2_C02_326.fcs	14715	7337
C03	F02_A1.1_A11_2	pH7.3_A	Specimen_001_C3_C03_041.fcs	16793	6721
C04	F02_A1.1_A11_2	pH7.3_B	Specimen_001_C4_C04_042.fcs	14032	5098
C05	A03_A1.1_A12_2	pH7.3_A	Specimen_001_C5_C05_043.fcs	13136	5213
