well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
A01,A01,A1,plate1,A,01,A04_a3_G12_1,1,0,0,SC37C,a3_G12,G12,15652,15084,5821,5474
A02,A01,A1,plate2,A,01,A06_a3_H07_1,1,0,0,SC37C,a3_H07,H07,7491,1712,2742,381
A03,A02,A2,plate1,A,02,A04_a3_G12_1,1,0,0,SC37C,a3_G12,G12,12814,3362,6225,1589
A04,A02,A2,plate2,A,02,A06_a3_H07_1,1,0,0,SC37C,a3_H07,H07,9599,1341,6193,301
A05,A03,A3,plate1,A,03,A04_a3_G12_1,1,0,0,SC37C,a3_G12,G12,14620,3633,6303,1463
A06,A03,A3,plate2,A,03,A06_a3_H07_1,1,0,0,SC37C,a3_H07,H07,6205,1597,3280,461
A07,A04,A4,plate1,A,04,A06_a3_H07_1,1,0,0,SC37C,a3_H07,H07,25000,4282,14078,1765
A08,A04,A4,plate2,A,04,G03_a1.1_B12_1,1,0,0,SC37C,a1.1_B12,B12,6084,936,4634,491
A09,A05,A5,plate1,A,05,A06_a3_H07_1,1,0,0,SC37C,a3_H07,H07,12556,2617,6897,1008
A10,A05,A5,plate2,A,05,G03_a1.1_B12_1,1,0,0,SC37C,a1.1_B12,B12,13502,2242,5291,385
A11,A06,A6,plate1,A,06,G03_a1.1_B12_1,1,0,0,SC37C,a1.1_B12,B12,12212,1546,6504,619
A12,A06,A6,plate2,A,06,B04_a1.1_A02_1,1,0,0,SC37C,a1.1_A02,A02,5223,1017,3291,368
A13,A07,A7,plate1,A,07,G03_a1.1_B12_1,1,0,0,SC37C,a1.1_B12,B12,8052,2621,4841,1661
A14,A07,A7,plate2,A,07,B04_a1.1_A02_1,1,0,0,SC37C,a1.1_A02,A02,5556,972,4222,362
A15,A08,A8,plate1,A,08,B04_a1.1_A02_1,1,0,0,SC37C,a1.1_A02,A02,9547,3241,4386,1820
A16,A08,A8,plate2,A,08,A04_a3_G12_1,1,0,0,SC37C,a3_G12,G12,6923,1390,4355,493
A17,A09,A9,plate1,A,09,B04_a1.1_A02_1,1,0,0,SC37C,a1.1_A02,A02,10271,2255,5270,900
A18,A09,A9,plate2,A,09,A04_a3_G12_1,1,0,0,SC37C,a3_G12,G12,4827,2928,1663,1456
A19,A10,A10,plate1,A,10,G03_a1.1_B12_1,1,0,0,SC37C,a1.1_B12,B12,11696,3013,5340,1489
A20,A10,A10,plate2,A,10,B04_a1.1_A02_1,1,0,0,SC37C,a1.1_A02,A02,8720,1310,4965,255
A21,A11,A11,plate1,A,11,BLANK,0,1,0,SC37C,BLANK,BLANK,10298,10068,4114,3878
A22,A11,A11,plate2,A,11,BLANK,0,1,0,SC37C,BLANK,BLANK,4573,4454,2402,2235
A23,A12,A12,plate1,A,12,BLANK,0,1,0,SC37C,BLANK,BLANK,15136,14882,4511,4335
A24,A12,A12,plate2,A,12,BLANK,0,1,0,SC37C,BLANK,BLANK,6011,5868,2568,2401
