well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
A01,A01,A1,plate1,A,01,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20812,303,25000,36
A02,A01,A1,plate2,A,01,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,20038,14419,22016,12183
A03,A02,A2,plate1,A,02,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,24596,19075,25000,15499
A04,A02,A2,plate2,A,02,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,23478,18556,25000,17085
A05,A03,A3,plate1,A,03,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,25000,19405,25000,17084
A06,A03,A3,plate2,A,03,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,12278,7275,9200,2212
A07,A04,A4,plate1,A,04,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,25000,20552,23306,16987
A08,A04,A4,plate2,A,04,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,21930,17231,23908,15513
A09,A05,A5,plate1,A,05,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,25000,19596,22704,16213
A10,A05,A5,plate2,A,05,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,23392,17808,25000,16165
A11,A06,A6,plate1,A,06,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,24510,20800,21328,16643
A12,A06,A6,plate2,A,06,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,21586,15869,25000,14842
A13,A07,A7,plate1,A,07,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,24080,16006,20382,8872
A14,A07,A7,plate2,A,07,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,22016,16453,24424,15105
A15,A08,A8,plate1,A,08,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,23650,16006,18146,9434
A16,A08,A8,plate2,A,08,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,25000,19991,25000,16349
A17,A09,A9,plate1,A,09,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,23994,18470,21672,15024
A18,A09,A9,plate2,A,09,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,25000,13903,25000,3868
A19,A10,A10,plate1,A,10,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,23564,16600,20296,12835
A20,A10,A10,plate2,A,10,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,25000,20063,25000,14821
A21,A11,A11,plate1,A,11,BLANK,0,1,0,YPD,BLANK,BLANK,17888,283,16684,435
A22,A11,A11,plate2,A,11,BLANK,0,1,0,YPD,BLANK,BLANK,19436,283,25000,68
A23,A12,A12,plate1,A,12,BLANK,0,1,0,YPD,BLANK,BLANK,23736,231,19436,217
A24,A12,A12,plate2,A,12,BLANK,0,1,0,YPD,BLANK,BLANK,21930,194,25000,34
B01,A01,A1,plate3,A,01,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,24510,16273,25000,9442
B02,A01,A1,plate4,A,01,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,21586,16153,21672,13662
B03,A02,A2,plate3,A,02,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20038,15870,24768,16884
B04,A02,A2,plate4,A,02,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,15566,288,17372,252
B05,A03,A3,plate3,A,03,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20898,16194,22790,14709
B06,A03,A3,plate4,A,03,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,18599,14514,20468,14140
B07,A04,A4,plate3,A,04,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16684,11970,18748,9798
B08,A04,A4,plate4,A,04,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20468,16925,20640,16029
B09,A05,A5,plate3,A,05,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,18920,13238,19178,9825
B10,A05,A5,plate4,A,05,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20382,17063,20554,15972
B11,A06,A6,plate3,A,06,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20124,16988,22274,16995
B12,A06,A6,plate4,A,06,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,14706,299,14276,314
B13,A07,A7,plate3,A,07,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20038,13948,22016,10365
B14,A07,A7,plate4,A,07,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,19092,13615,18318,8356
B15,A08,A8,plate3,A,08,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,18748,14541,22876,13318
B16,A08,A8,plate4,A,08,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20468,16510,19350,14118
B17,A09,A9,plate3,A,09,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,14706,11596,17458,11739
B18,A09,A9,plate4,A,09,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,22618,8647,15566,827
B19,A10,A10,plate3,A,10,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,18318,14944,23392,16684
B20,A10,A10,plate4,A,10,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,17458,13996,14964,10485
B21,A11,A11,plate3,A,11,BLANK,0,1,0,YPD,BLANK,BLANK,15738,329,20210,189
B22,A11,A11,plate4,A,11,BLANK,0,1,0,YPD,BLANK,BLANK,17630,170,16254,218
B23,A12,A12,plate3,A,12,BLANK,0,1,0,YPD,BLANK,BLANK,16512,220,22790,156
B24,A12,A12,plate4,A,12,BLANK,0,1,0,YPD,BLANK,BLANK,20038,127,19866,161
C01,B01,B1,plate1,B,01,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,25000,18024,25000,11917
C02,B01,B1,plate2,B,01,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,24854,19365,24854,17727
C03,B02,B2,plate1,B,02,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,22102,17258,25000,16155
C04,B02,B2,plate2,B,02,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,19092,15137,20984,15452
C05,B03,B3,plate1,B,03,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,20554,16246,22618,15703
C06,B03,B3,plate2,B,03,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,13072,8504,14878,6953
C07,B04,B4,plate1,B,04,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,16340,12133,14534,9288
C08,B04,B4,plate2,B,04,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,17544,14126,19608,15155
C09,B05,B5,plate1,B,05,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,22618,16932,19436,11165
C10,B05,B5,plate2,B,05,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,18662,13550,19350,10499
C11,B06,B6,plate1,B,06,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20554,14799,19866,10223
C12,B06,B6,plate2,B,06,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16856,12718,18748,12404
C13,B07,B7,plate1,B,07,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,23306,18361,19436,13538
C14,B07,B7,plate2,B,07,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,18232,13935,18834,12234
C15,B08,B8,plate1,B,08,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,21672,17632,18318,13603
C16,B08,B8,plate2,B,08,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,19522,16003,21156,15755
C17,B09,B9,plate1,B,09,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19436,14838,20468,14228
C18,B09,B9,plate2,B,09,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,18748,15187,21328,15756
C19,B10,B10,plate1,B,10,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20382,14448,19436,10185
C20,B10,B10,plate2,B,10,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,22360,19033,24166,19022
C21,B11,B11,plate1,B,11,A04_a3_G12_1,0,1,0,YPD,a3_G12,G12,19006,15244,20124,14950
C22,B11,B11,plate2,B,11,A04_a3_G12_1,0,1,0,YPD,a3_G12,G12,19522,16635,25000,18530
C23,B12,B12,plate1,B,12,A04_a3_G12_1,0,1,0,YPD,a3_G12,G12,19952,16464,22360,16517
C24,B12,B12,plate2,B,12,A04_a3_G12_1,0,1,0,YPD,a3_G12,G12,22188,19845,25000,18668
D01,B01,B1,plate3,B,01,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,23306,17575,25000,15368
D02,B01,B1,plate4,B,01,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,18748,13471,18404,11756
D03,B02,B2,plate3,B,02,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,16856,13172,20640,14753
D04,B02,B2,plate4,B,02,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,17974,14338,20640,15469
D05,B03,B3,plate3,B,03,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,17716,13697,18748,13117
D06,B03,B3,plate4,B,03,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,15222,11862,17372,12656
D07,B04,B4,plate3,B,04,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,15566,12649,17286,13277
