well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
A01,A01,A1,plate1,A,01,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,25000,24896,21672,21539
A02,A01,A1,plate2,A,01,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,15955,7816,11387,7964
A03,A02,A2,plate1,A,02,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,17617,7416,15652,10058
A04,A02,A2,plate2,A,02,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,19281,6829,11580,5776
A05,A03,A3,plate1,A,03,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,13105,5143,15824,9442
A06,A03,A3,plate2,A,03,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,7498,4142,12202,9614
A07,A04,A4,plate1,A,04,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,15568,5062,12036,5750
A08,A04,A4,plate2,A,04,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,12835,4538,11609,6919
A09,A05,A5,plate1,A,05,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,16462,6357,12298,6771
A10,A05,A5,plate2,A,05,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13514,4811,10969,5572
A11,A06,A6,plate1,A,06,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13590,3451,11480,5372
A12,A06,A6,plate2,A,06,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9764,4572,11169,8101
A13,A07,A7,plate1,A,07,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,16279,8288,11857,8572
A14,A07,A7,plate2,A,07,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,11249,4548,10986,6704
A15,A08,A8,plate1,A,08,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,14608,8400,13244,11218
A16,A08,A8,plate2,A,08,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,14885,6113,12298,7681
A17,A09,A9,plate1,A,09,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,11690,5112,13409,9725
A18,A09,A9,plate2,A,09,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,16933,10259,15652,14434
A19,A10,A10,plate1,A,10,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,17263,7357,12467,7984
A20,A10,A10,plate2,A,10,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,14409,5657,11675,7465
A21,A11,A11,plate1,A,11,BLANK,0,1,0,env3,BLANK,BLANK,15085,15005,17458,17318
A22,A11,A11,plate2,A,11,BLANK,0,1,0,env3,BLANK,BLANK,18654,18564,15910,15801
A23,A12,A12,plate1,A,12,BLANK,0,1,0,env3,BLANK,BLANK,18826,18741,19608,19451
A24,A12,A12,plate2,A,12,BLANK,0,1,0,env3,BLANK,BLANK,16442,16330,17286,17161
B01,A01,A1,plate3,A,01,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13914,7200,12038,8699
B02,A01,A1,plate4,A,01,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,14583,7103,8626,6031
B03,A02,A2,plate3,A,02,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,11028,3735,11073,5788
B04,A02,A2,plate4,A,02,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,15020,14938,13330,13224
B05,A03,A3,plate3,A,03,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13830,5778,11954,7476
B06,A03,A3,plate4,A,03,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,12580,4848,10164,6476
B07,A04,A4,plate3,A,04,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,13636,7085,11952,9530
B08,A04,A4,plate4,A,04,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,12210,4091,10236,5746
B09,A05,A5,plate3,A,05,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,5675,3257,10765,8738
B10,A05,A5,plate4,A,05,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,12432,4009,9050,5001
B11,A06,A6,plate3,A,06,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10507,3383,9378,4580
B12,A06,A6,plate4,A,06,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,11939,11876,12470,12407
B13,A07,A7,plate3,A,07,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,7978,4100,10550,7790
B14,A07,A7,plate4,A,07,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,13203,5806,10358,8316
B15,A08,A8,plate3,A,08,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,7691,3552,12642,9566
B16,A08,A8,plate4,A,08,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,11605,3481,10118,5669
B17,A09,A9,plate3,A,09,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6983,2714,10539,6798
B18,A09,A9,plate4,A,09,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13720,9639,12550,11952
B19,A10,A10,plate3,A,10,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10126,3608,10907,6761
B20,A10,A10,plate4,A,10,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,7990,2822,7827,4695
B21,A11,A11,plate3,A,11,BLANK,0,1,0,env3,BLANK,BLANK,15239,15134,19006,18879
B22,A11,A11,plate4,A,11,BLANK,0,1,0,env3,BLANK,BLANK,13546,13482,13760,13688
B23,A12,A12,plate3,A,12,BLANK,0,1,0,env3,BLANK,BLANK,13576,13515,16598,16518
B24,A12,A12,plate4,A,12,BLANK,0,1,0,env3,BLANK,BLANK,10417,10308,14276,14185
C01,B01,B1,plate1,B,01,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,19461,10352,16684,13192
C02,B01,B1,plate2,B,01,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,16961,6908,12638,8553
C03,B02,B2,plate1,B,02,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,16151,7589,15050,10644
C04,B02,B2,plate2,B,02,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,14202,5242,10153,5218
C05,B03,B3,plate1,B,03,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,13691,5237,11438,6742
C06,B03,B3,plate2,B,03,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,7417,3895,9617,7444
C07,B04,B4,plate1,B,04,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,15804,7174,9505,5727
C08,B04,B4,plate2,B,04,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,10972,3395,10243,4599
C09,B05,B5,plate1,B,05,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,13121,6503,12040,8885
C10,B05,B5,plate2,B,05,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,8263,4051,11779,8868
C11,B06,B6,plate1,B,06,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,12587,6069,10740,7769
C12,B06,B6,plate2,B,06,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9165,4426,9923,7535
C13,B07,B7,plate1,B,07,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,7638,2633,10538,6099
C14,B07,B7,plate2,B,07,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9830,3554,10126,6108
C15,B08,B8,plate1,B,08,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9881,4435,10692,6671
C16,B08,B8,plate2,B,08,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,7630,2636,8964,4588
C17,B09,B9,plate1,B,09,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,14282,5449,11868,7517
C18,B09,B9,plate2,B,09,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,12871,4429,10311,5064
C19,B10,B10,plate1,B,10,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,14149,5896,12036,8873
C20,B10,B10,plate2,B,10,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,12117,3882,11092,6598
C21,B11,B11,plate1,B,11,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,8427,2546,10439,5393
C22,B11,B11,plate2,B,11,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,8387,1820,8591,3373
C23,B12,B12,plate1,B,12,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,10221,2569,10905,5003
C24,B12,B12,plate2,B,12,A04_a3_G12_1,0,1,0,env3,a3_G12,G12,10447,1922,9496,3074
D01,B01,B1,plate3,B,01,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,13596,5044,11260,5970
D02,B01,B1,plate4,B,01,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8630,4298,10126,7873
D03,B02,B2,plate3,B,02,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9149,2980,10065,5010
D04,B02,B2,plate4,B,02,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8489,3000,11339,6246
D05,B03,B3,plate3,B,03,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,14346,5367,10149,6394
