well_id	well_id_96	well_id_96_no0	plate_id	F1_AP	F1_F1	F1_ID	F1	BLOCK_ID	PAR_ID	IS_ANC	AP1_ID	SEX	strain_id	parent
A01	A01	A1	plate1	F12	A01	D05_A01	1	1			D05_A1.1_C12_1	ASEX	D05_A01	D05
A03	A02	A2	plate1	F12	A02	D05_A02	1	1			D05_A1.1_C12_1	ASEX	D05_A02	D05
A05	A03	A3	plate1	F12	A03	D05_A03	1	1			D05_A1.1_C12_1	ASEX	D05_A03	D05
A07	A04	A4	plate1	F12	A04	D05_A04	1	1			D05_A1.1_C12_1	ASEX	D05_A04	D05
A09	A05	A5	plate1	F12	A05	D05_A05	1	1			D05_A1.1_C12_1	ASEX	D05_A05	D05
A11	A06	A6	plate1	F12	A06	D05_A06	1	1			D05_A1.1_C12_1	ASEX	D05_A06	D05
A13	A07	A7	plate1	F12	A07	D05_A07	1	1			D05_A1.1_C12_1	ASEX	D05_A07	D05
A15	A08	A8	plate1	F12	A08	D05_A08	1	1			D05_A1.1_C12_1	ASEX	D05_A08	D05
A17	A09	A9	plate1			C02_	0	1	B01		C02_A3_A03_1	SEX	C02	C02
A19	A10	A10	plate1			A03_	0	1	A03		A03_A1.1_A12_1	ASEX	A03	A03
A21	A11	A11	plate1			E03_	0	1	A05		E03_A3_H03_1	SEX	E03	E03
A23	A12	A12	plate1			A04_	0	1	A07		A04_A3_G12_1	SEX	A04	A04
C01	B01	B1	plate1	A08	A01	C04_A01	1	1			C04_A3_H02_1	SEX	C04_A01	C04
C03	B02	B2	plate1	A08	A02	C04_A02	1	1			C04_A3_H02_1	SEX	C04_A02	C04
C05	B03	B3	plate1	A08	A03	C04_A03	1	1			C04_A3_H02_1	SEX	C04_A03	C04
C07	B04	B4	plate1	A08	A04	C04_A04	1	1			C04_A3_H02_1	SEX	C04_A04	C04
C09	B05	B5	plate1	A08	A05	C04_A05	1	1			C04_A3_H02_1	SEX	C04_A05	C04
C11	B06	B6	plate1	A08	A06	C04_A06	1	1			C04_A3_H02_1	SEX	C04_A06	C04
C13	B07	B7	plate1	A08	A07	C04_A07	1	1			C04_A3_H02_1	SEX	C04_A07	C04
C15	B08	B8	plate1	A08	A08	C04_A08	1	1			C04_A3_H02_1	SEX	C04_A08	C04
C17	B09	B9	plate1			D02_	0	1	F01		D02_A1.1_A05_1	ASEX	D02	D02
C19	B10	B10	plate1			C03_	0	1	A04		C03_A3_H11_1	SEX	C03	C03
C21	B11	B11	plate1			D05_	0	1	F12		D05_A1.1_C12_1	ASEX	D05	D05
C23	B12	B12	plate1			B04_	0	1	E07		B04_A1.1_A02_1	ASEX	B04	B04
E01	C01	C1	plate1	E08	A01	D04_A01	1	1			D04_A1.1_H06_1	ASEX	D04_A01	D04
E03	C02	C2	plate1	E08	A02	D04_A02	1	1			D04_A1.1_H06_1	ASEX	D04_A02	D04
E05	C03	C3	plate1	E08	A03	D04_A03	1	1			D04_A1.1_H06_1	ASEX	D04_A03	D04
E07	C04	C4	plate1	E08	A04	D04_A04	1	1			D04_A1.1_H06_1	ASEX	D04_A04	D04
E09	C05	C5	plate1	E08	A05	D04_A05	1	1			D04_A1.1_H06_1	ASEX	D04_A05	D04
E11	C06	C6	plate1	E08	A06	D04_A06	1	1			D04_A1.1_H06_1	ASEX	D04_A06	D04
E13	C07	C7	plate1	E08	A07	D04_A07	1	1			D04_A1.1_H06_1	ASEX	D04_A07	D04
E15	C08	C8	plate1	E08	A08	D04_A08	1	1			D04_A1.1_H06_1	ASEX	D04_A08	D04
E17	C09	C9	plate1			F02_	0	1	A02		F02_A1.1_A11_1	ASEX	F02	F02
E19	C10	C10	plate1			D03_	0	1	E04		D03_A3_B12_1	SEX	D03	D03
E21	C11	C11	plate1			A06_	0	1	C06		A06_A3_H07_1	SEX	A06	A06
E23	C12	C12	plate1			C04_	0	1	A08		C04_A3_H02_1	SEX	C04	C04
G01	D01	D1	plate1	A10	A01	G04_A01	1	1			G04_A3_H09_1	SEX	G04_A01	G04
G03	D02	D2	plate1	A10	A02	G04_A02	1	1			G04_A3_H09_1	SEX	G04_A02	G04
G05	D03	D3	plate1	A10	A03	G04_A03	1	1			G04_A3_H09_1	SEX	G04_A03	G04
G07	D04	D4	plate1	A10	A04	G04_A04	1	1			G04_A3_H09_1	SEX	G04_A04	G04
G09	D05	D5	plate1	A10	A05	G04_A05	1	1			G04_A3_H09_1	SEX	G04_A05	G04
G11	D06	D6	plate1	A10	A06	G04_A06	1	1			G04_A3_H09_1	SEX	G04_A06	G04
G13	D07	D7	plate1	A10	A07	G04_A07	1	1			G04_A3_H09_1	SEX	G04_A07	G04
G15	D08	D8	plate1	A10	A08	G04_A08	1	1			G04_A3_H09_1	SEX	G04_A08	G04
G17	D09	D9	plate1			G02_	0	1	E02		G02_A1.1_H02_1	ASEX	G02	G02
G19	D10	D10	plate1			H05_	0	1	G04		H05_A1.1_D12_1	ASEX	H05	H05
G21	D11	D11	plate1			G03_	0	1	E06		G03_A1.1_B12_1	ASEX	G03	G03
G23	D12	D12	plate1			D06_	0	1	C08		D06_A1.1_H11_1	ASEX	D06	D06
I01	E01	E1	plate1	F12	B01	D05_B01	1	1			D05_A1.1_C12_1	ASEX	D05_B01	D05
I03	E02	E2	plate1	F12	B02	D05_B02	1	1			D05_A1.1_C12_1	ASEX	D05_B02	D05
I05	E03	E3	plate1	F12	B03	D05_B03	1	1			D05_A1.1_C12_1	ASEX	D05_B03	D05
I07	E04	E4	plate1	F12	B04	D05_B04	1	1			D05_A1.1_C12_1	ASEX	D05_B04	D05
I09	E05	E5	plate1	F12	B05	D05_B05	1	1			D05_A1.1_C12_1	ASEX	D05_B05	D05
I11	E06	E6	plate1	F12	B06	D05_B06	1	1			D05_A1.1_C12_1	ASEX	D05_B06	D05
I13	E07	E7	plate1	F12	B07	D05_B07	1	1			D05_A1.1_C12_1	ASEX	D05_B07	D05
