Name	Statistic	Cells
Specimen_001_A1_A01.fcs		17898
Specimen_001_A1_A01.fcs/cells	94.2	16865
Specimen_001_A1_A01.fcs/cells/mCherry	97.3	16407
Specimen_001_A2_A02.fcs		14763
Specimen_001_A2_A02.fcs/cells	99.7	14725
Specimen_001_A2_A02.fcs/cells/mCherry	96.3	14183
Specimen_001_A3_A03.fcs		14763
Specimen_001_A3_A03.fcs/cells	99.7	14714
Specimen_001_A3_A03.fcs/cells/mCherry	94.8	13951
Specimen_001_A4_A04.fcs		13680
Specimen_001_A4_A04.fcs/cells	99.6	13628
Specimen_001_A4_A04.fcs/cells/mCherry	94	12804
Specimen_001_A5_A05.fcs		18240
Specimen_001_A5_A05.fcs/cells	99.7	18194
Specimen_001_A5_A05.fcs/cells/mCherry	74.8	13612
Specimen_001_A6_A06.fcs		15946
Specimen_001_A6_A06.fcs/cells	99.6	15888
Specimen_001_A6_A06.fcs/cells/mCherry	69.3	11016
Specimen_001_A7_A07.fcs		18411
Specimen_001_A7_A07.fcs/cells	100	18402
Specimen_001_A7_A07.fcs/cells/mCherry	4.14	762
Specimen_001_A8_A08.fcs		14364
Specimen_001_A8_A08.fcs/cells	100	14358
Specimen_001_A8_A08.fcs/cells/mCherry	2.94	422
Specimen_001_A9_A09.fcs		19209
Specimen_001_A9_A09.fcs/cells	99.7	19159
Specimen_001_A9_A09.fcs/cells/mCherry	63	12061
Specimen_001_A10_A10.fcs		16188
Specimen_001_A10_A10.fcs/cells	99.8	16163
Specimen_001_A10_A10.fcs/cells/mCherry	55.9	9034
Specimen_001_A11_A11.fcs		12654
Specimen_001_A11_A11.fcs/cells	99.6	12600
Specimen_001_A11_A11.fcs/cells/mCherry	90.6	11418
Specimen_001_A12_A12.fcs		10602
Specimen_001_A12_A12.fcs/cells	99.6	10559
Specimen_001_A12_A12.fcs/cells/mCherry	90.4	9548
Specimen_001_A13_A13.fcs		14307
Specimen_001_A13_A13.fcs/cells	99.6	14249
Specimen_001_A13_A13.fcs/cells/mCherry	90.1	12833
Specimen_001_A14_A14.fcs		12198
Specimen_001_A14_A14.fcs/cells	99.5	12139
Specimen_001_A14_A14.fcs/cells/mCherry	87.9	10675
Specimen_001_A15_A15.fcs		12084
Specimen_001_A15_A15.fcs/cells	99.6	12041
Specimen_001_A15_A15.fcs/cells/mCherry	80	9630
Specimen_001_A16_A16.fcs		10830
Specimen_001_A16_A16.fcs/cells	99.8	10806
