"env","plate","X","kk_strain_id","kk_pop_id","kk_well_id","well_id_96","plate_id","F1","parent","anc","regime","s_hat","exclude","plate_means","fitness_gain","env_means","fitness_gain_adj","f1_unique_id"
"SC_0.2M_NaCl","1_env3",769,"A04_a3_G12_1","a3_G12","G12","A01","1",1,0,0,"sexual",0.0390800131681145,0,0.00350741537278833,0.0355725977953262,-0.0927020854498966,0.128274683245223,"A04_a3_G12_1_1_A01"
"SC_0.2M_NaCl","1_env3",931,"G03_a1.1_B12_1","a1.1_B12","B12","D10","1",1,0,0,"asexual",-0.0612398264787056,0,0.00350741537278833,-0.0647472418514939,-0.0927020854498966,0.0279548435984027,"G03_a1.1_B12_1_1_D10"
"SC_0.2M_NaCl","1_env3",771,"A04_a3_G12_1","a3_G12","G12","A02","1",1,0,0,"sexual",-0.0905519669406833,0,0.00350741537278833,-0.0940593823134716,-0.0927020854498966,-0.00135729686357502,"A04_a3_G12_1_1_A02"
"SC_0.2M_NaCl","1_env3",773,"A04_a3_G12_1","a3_G12","G12","A03","1",1,0,0,"sexual",-0.0828729952053389,0,0.00350741537278833,-0.0863804105781272,-0.0927020854498966,0.00632167487176938,"A04_a3_G12_1_1_A03"
"SC_0.2M_NaCl","1_env3",775,"A06_a3_H07_1","a3_H07","H07","A04","1",1,0,0,"sexual",-0.0641059776842721,0,0.00350741537278833,-0.0676133930570604,-0.0927020854498966,0.0250886923928362,"A06_a3_H07_1_1_A04"
"SC_0.2M_NaCl","1_env3",977,"B04_a1.1_A02_1","a1.1_A02","A02","E09","1",1,0,0,"asexual",-0.0873683026070499,0,0.00350741537278833,-0.0908757179798382,-0.0927020854498966,0.00182636747005838,"B04_a1.1_A02_1_1_E09"
"SC_0.2M_NaCl","1_env3",777,"A06_a3_H07_1","a3_H07","H07","A05","1",1,0,0,"sexual",-0.0666477396553695,0,0.00350741537278833,-0.0701551550281578,-0.0927020854498966,0.0225469304217388,"A06_a3_H07_1_1_A05"
"SC_0.2M_NaCl","1_env3",979,"B04_a1.1_A02_1","a1.1_A02","A02","E10","1",1,0,0,"asexual",-0.0788156681752234,0,0.00350741537278833,-0.0823230835480117,-0.0927020854498966,0.0103790019018849,"B04_a1.1_A02_1_1_E10"
"SC_0.2M_NaCl","1_env3",779,"G03_a1.1_B12_1","a1.1_B12","B12","A06","1",1,0,0,"asexual",-0.0949326221159182,0,0.00350741537278833,-0.0984400374887065,-0.0927020854498966,-0.00573795203880992,"G03_a1.1_B12_1_1_A06"
"SC_0.2M_NaCl","1_env3",781,"G03_a1.1_B12_1","a1.1_B12","B12","A07","1",1,0,0,"asexual",-0.0922641648549956,0,0.00350741537278833,-0.0957715802277839,-0.0927020854498966,-0.00306949477788732,"G03_a1.1_B12_1_1_A07"
"SC_0.2M_NaCl","1_env3",783,"B04_a1.1_A02_1","a1.1_A02","A02","A08","1",1,0,0,"asexual",-0.14090633022913,0,0.00350741537278833,-0.144413745601918,-0.0927020854498966,-0.0517116601520217,"B04_a1.1_A02_1_1_A08"
"SC_0.2M_NaCl","1_env3",1025,"B04_a1.1_A02_1","a1.1_A02","A02","F09","1",1,0,0,"asexual",-0.0833295492670564,0,0.00350741537278833,-0.0868369646398447,-0.0927020854498966,0.00586512081005189,"B04_a1.1_A02_1_1_F09"
"SC_0.2M_NaCl","1_env3",785,"B04_a1.1_A02_1","a1.1_A02","A02","A09","1",1,0,0,"asexual",-0.122284080180308,0,0.00350741537278833,-0.125791495553096,-0.0927020854498966,-0.0330894101031997,"B04_a1.1_A02_1_1_A09"
"SC_0.2M_NaCl","1_env3",1027,"B04_a1.1_A02_1","a1.1_A02","A02","F10","1",1,0,0,"asexual",-0.107151750427449,0,0.00350741537278833,-0.110659165800237,-0.0927020854498966,-0.0179570803503407,"B04_a1.1_A02_1_1_F10"
"SC_0.2M_NaCl","1_env3",787,"G03_a1.1_B12_1","a1.1_B12","B12","A10","1",1,0,0,"asexual",-0.0874635467051779,0,0.00350741537278833,-0.0909709620779662,-0.0927020854498966,0.00173112337193038,"G03_a1.1_B12_1_1_A10"
"SC_0.2M_NaCl","1_env3",913,"A04_a3_G12_1","a3_G12","G12","D01","1",1,0,0,"sexual",-0.0836465369006933,0,0.00350741537278833,-0.0871539522734816,-0.0927020854498966,0.00554813317641498,"A04_a3_G12_1_1_D01"
"SC_0.2M_NaCl","1_env3",833,"B04_a1.1_A02_1","a1.1_A02","A02","B09","1",1,0,0,"asexual",-0.102982402061882,0,0.00350741537278833,-0.10648981743467,-0.0927020854498966,-0.0137877319847737,"B04_a1.1_A02_1_1_B09"
"SC_0.2M_NaCl","1_env3",915,"A04_a3_G12_1","a3_G12","G12","D02","1",1,0,0,"sexual",-0.0931736107571308,0,0.00350741537278833,-0.0966810261299191,-0.0927020854498966,-0.00397894068002252,"A04_a3_G12_1_1_D02"
"SC_0.2M_NaCl","1_env3",835,"G03_a1.1_B12_1","a1.1_B12","B12","B10","1",1,0,0,"asexual",-0.13677946292532,0,0.00350741537278833,-0.140286878298108,-0.0927020854498966,-0.0475847928482117,"G03_a1.1_B12_1_1_B10"
"SC_0.2M_NaCl","1_env3",917,"A04_a3_G12_1","a3_G12","G12","D03","1",1,0,0,"sexual",-0.0922749143478747,0,0.00350741537278833,-0.095782329720663,-0.0927020854498966,-0.00308024427076642,"A04_a3_G12_1_1_D03"
"SC_0.2M_NaCl","1_env3",919,"A06_a3_H07_1","a3_H07","H07","D04","1",1,0,0,"sexual",-0.0572292093796997,0,0.00350741537278833,-0.060736624752488,-0.0927020854498966,0.0319654606974086,"A06_a3_H07_1_1_D04"
"SC_0.2M_NaCl","1_env3",921,"A06_a3_H07_1","a3_H07","H07","D05","1",1,0,0,"sexual",-0.0641380612025003,0,0.00350741537278833,-0.0676454765752886,-0.0927020854498966,0.025056608874608,"A06_a3_H07_1_1_D05"
"SC_0.2M_NaCl","1_env3",881,"B04_a1.1_A02_1","a1.1_A02","A02","C09","1",1,0,0,"asexual",-0.10456641282401,0,0.00350741537278833,-0.108073828196798,-0.0927020854498966,-0.0153717427469017,"B04_a1.1_A02_1_1_C09"
"SC_0.2M_NaCl","1_env3",923,"G03_a1.1_B12_1","a1.1_B12","B12","D06","1",1,0,0,"asexual",-0.0742134416899228,0,0.00350741537278833,-0.0777208570627111,-0.0927020854498966,0.0149812283871855,"G03_a1.1_B12_1_1_D06"
"SC_0.2M_NaCl","1_env3",883,"G03_a1.1_B12_1","a1.1_B12","B12","C10","1",1,0,0,"asexual",-0.0945527669298755,0,0.00350741537278833,-0.0980601823026638,-0.0927020854498966,-0.00535809685276722,"G03_a1.1_B12_1_1_C10"
