"env","plate_block","X","well_id","well_id_96","well_id_96_no0","plate_id","F1_AP","F1_F1","F1_ID","F1","BLOCK_ID","PAR_ID","IS_ANC","kk_strain_id","regime","strain_id","parent","tot_1","ref_1","tot_2","ref_2","s_hat","plate_means","fitness_gain","unique_id","f1_unique_id","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","3_4",1299,"B05","A03","A3","3","F12","A03","D05_A03",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A03","D05",19914,10403,19396,13991,-0.0861444612071467,NA,-0.0861444612071467,"D05_a1.1_C12_1_A03","D05_a1.1_C12_1_A03",-0.115497523764393,0.0293530625572466
"SC_0.2M_NaCl","3_4",1300,"B07","A04","A4","3","F12","A04","D05_A04",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A04","D05",19841,13082,18604,16158,-0.122759895637173,NA,-0.122759895637173,"D05_a1.1_C12_1_A04","D05_a1.1_C12_1_A04",-0.115497523764393,-0.00726237187277969
"SC_0.2M_NaCl","3_4",1297,"B01","A01","A1","3","F12","A01","D05_A01",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A01","D05",19905,14429,19650,17839,-0.131864272997894,NA,-0.131864272997894,"D05_a1.1_C12_1_A01","D05_a1.1_C12_1_A01",-0.115497523764393,-0.0163667492335007
"SC_0.2M_NaCl","3_4",1298,"B03","A02","A2","3","F12","A02","D05_A02",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A02","D05",19787,12838,19641,17267,-0.137040911068542,NA,-0.137040911068542,"D05_a1.1_C12_1_A02","D05_a1.1_C12_1_A02",-0.115497523764393,-0.0215433873041487
"SC_0.2M_NaCl","4_4",1457,"L10","F05","F5","4","E08","D05","D04_D05",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_D05","D04",19477,12284,19411,16708,-0.128633610764726,NA,-0.128633610764726,"D04_a1.1_H06_1_F05","D04_a1.1_H06_1_F05",-0.115497523764393,-0.0131360870003327
"SC_0.2M_NaCl","4_4",1458,"L12","F06","F6","4","E08","D06","D04_D06",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_D06","D04",19465,8427,19479,12935,-0.095129124456464,NA,-0.095129124456464,"D04_a1.1_H06_1_F06","D04_a1.1_H06_1_F06",-0.115497523764393,0.0203683993079293
"SC_0.2M_NaCl","4_4",1459,"L14","F07","F7","4","E08","D07","D04_D07",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_D07","D04",19233,12113,19726,17352,-0.145775994672632,NA,-0.145775994672632,"D04_a1.1_H06_1_F07","D04_a1.1_H06_1_F07",-0.115497523764393,-0.0302784709082387
"SC_0.2M_NaCl","4_4",1460,"L16","F08","F8","4","E08","D08","D04_D08",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_D08","D04",17250,10911,19212,16525,-0.127339862873346,NA,-0.127339862873346,"D04_a1.1_H06_1_F08","D04_a1.1_H06_1_F08",-0.115497523764393,-0.0118423391089527
"SC_0.2M_NaCl","4_4",1465,"N02","G01","G1","4","A10","D01","G04_D01",1,4,"",NA,"G04_a3_H09_1","sexual","G04_D01","G04",19848,14219,19240,17724,-0.153219707418472,NA,-0.153219707418472,"G04_a3_H09_1_G01","G04_a3_H09_1_G01",-0.115497523764393,-0.0377221836540787
"SC_0.2M_NaCl","4_4",1466,"N04","G02","G2","4","A10","D02","G04_D02",1,4,"",NA,"G04_a3_H09_1","sexual","G04_D02","G04",19852,9937,19002,13633,-0.0929635250486093,NA,-0.0929635250486093,"G04_a3_H09_1_G02","G04_a3_H09_1_G02",-0.115497523764393,0.022533998715784
